Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2009,"Halloran, Daniel",03/14/2013,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$812
2009,"Halloran, Daniel",03/14/2013,Failing to respond timely to Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$2,051"
2009,"Halloran, Daniel",03/14/2013,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($52,749)"
2009,"Schwartz, Robert",03/14/2013,Failing to report and document advances,Failing to report transactions,$250
2009,"Schwartz, Robert",03/14/2013,Accepting a Contribution from a Limited Liability Company,"Accepting contributions from corporations, limited liability companies, or partnerships",$425
2009,"Schwartz, Robert",03/14/2013,Failing to Demonstrate that Spending was in Furtherance of the Campaign,Failing to demonstrate that spending was in furtherance of the campaign,$108
2009,"Schwartz, Robert",03/14/2013,Responding Late to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$454
2009,"Behar, Steven",02/21/2013,Failing to accurately report cash receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,VNP
2009,"Behar, Steven",02/21/2013,Failing to document a specific transaction,Failing to document transactions,VNP
2009,"Behar, Steven",02/21/2013,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($4,107)"
2009,"Griffith, Mark",02/21/2013,Accepting an over-the-limit Doing Business contribution,Accepting over-the-limit Doing Business contributions,$250
2009,"Griffith, Mark",02/21/2013,Filing a disclosure statement five days late,Failing to file/filing late disclosure statements,$250
2009,"Griffith, Mark",02/21/2013,Failing to report transactions,Failing to report transactions,$100
2009,"Griffith, Mark",02/21/2013,Failing to report transactions in the appropriate disclosure statement period,Failing to report transactions,"$2,000"
2009,"Griffith, Mark",02/21/2013,Failing to report and document in-kind contributions,Failing to report transactions,$500
2009,"Griffith, Mark",02/21/2013,Failing to adequately document transactions,Failing to document transactions,$250
2009,"Griffith, Mark",02/21/2013,Failing to respond timely to the Initial Document Request,"Failing to respond/late response to IDR, DAR, etc.",$250
2009,"Griffith, Mark",02/21/2013,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$3,477"
2009,"Griffith, Mark",02/21/2013,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($3,206)"
2009,"Lander, Brad",01/29/2013,Failing to report in-kind contributions,Failing to report transactions,No violation
2009,"Lander, Brad",01/29/2013,Repayment: FBB,Repayment: Final Bank Balance,"$44,991.11"
2009,"Levin, Stephen",01/29/2013,Accepting an over-the-limit Doing Business contribution,Accepting over-the-limit Doing Business contributions,$250
2009,"Levin, Stephen",01/29/2013,Exceeding the expenditure limit,Exceeding the expenditure limit,$508
2009,"Levin, Stephen",01/29/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,VNP
2009,"Levin, Stephen",01/29/2013,Failing to report a specific transaction,Failing to report transactions,$50
2009,"Levin, Stephen",01/29/2013,Repayment: FBB,Repayment: Final Bank Balance,"$23,254.02"
2009,"Mark-Viverito, Melissa",01/29/2013,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,$550
2009,"Mark-Viverito, Melissa",01/29/2013,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$125
2009,"Mark-Viverito, Melissa",01/29/2013,Exceeding the expenditure limit,Exceeding the expenditure limit,"$1,547"
2009,"Schulman, Lynn",01/29/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,VNP
2009,"Schulman, Lynn",01/29/2013,Repayment: FBB,Repayment: Final Bank Balance,"$6,129.72"
2010A,"Lazar, Joseph",01/10/2013,Failing to report and document in-kind contributions,Failing to report transactions,$500
2010A,"Lazar, Joseph",01/10/2013,Cooperating in alleged independent expenditures,Accepting/failing to report in-kind contributions arising from coordinated activity,"$20,000"
2010A,"Lazar, Joseph",01/10/2013,Exceeding the expenditure limit,Exceeding the expenditure limit,"$123,874"
2010A,"Lazar, Joseph",01/10/2013,Breach of certification (repayment),Breach of Certification,"$92,400"
2009,"Mealy, Darlene",01/10/2013,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$250
2009,"Mealy, Darlene",01/10/2013,Failing to file a disclosure statement,Failing to file/filing late disclosure statements,$750
2009,"Mealy, Darlene",01/10/2013,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,$675
2009,"Mealy, Darlene",01/10/2013,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$2,850"
2009,"Mealy, Darlene",01/10/2013,Failing to respond to the initial requests for documentation and records in a timely manner,"Failing to respond/late response to IDR, DAR, etc.","$1,728"
2009,"Mealy, Darlene",01/10/2013,Repayment: FBB,Repayment: Final Bank Balance,"$1,319.92"
2009,"Sanders, James",01/10/2013,Accepting five over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,$500
2009,"Sanders, James",01/10/2013,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$50
2009,"Sanders, James",01/10/2013,Filing three disclosure statements late,Failing to file/filing late disclosure statements,$500
2009,"Sanders, James",01/10/2013,Failing to report transactions,Failing to report transactions,"$6,560"
2009,"Sanders, James",01/10/2013,Failing to respond to the post-election documentation request,"Failing to respond/late response to IDR, DAR, etc.","$2,188"
2009,"Sanders, James",01/10/2013,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$100
2009,"Sanders, James",01/10/2013,Maintaining a petty cash fund in excess of $500,Maintaining a petty cash fund greater than $500,$215
2009,"Sanders, James",01/10/2013,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$19,690"
2009,"Sarete, Cleofis",01/10/2013,Maintaining a 13.39% cash variance,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$292
2009,"Sarete, Cleofis",01/10/2013,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships","$2,543"
2009,"Sarete, Cleofis",01/10/2013,Responding late to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$23
2009,"Sarete, Cleofis",01/10/2013,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$146
2009,"Sarete, Cleofis",01/10/2013,Failing to accurately report receipts and disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$146
2009,"Sarete, Cleofis",01/10/2013,Making cash payments greater than $100,Making cash expenditures greater than $100,$117
2009,"Sarete, Cleofis",01/10/2013,Filing late disclosure statements,Failing to file/filing late disclosure statements,$643
2009,"Cabrera, Fernando",12/13/2012,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$250
2009,"Cabrera, Fernando",12/13/2012,Failing to accurately report cash receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$250
2009,"Cabrera, Fernando",12/13/2012,Failing to report and/or document specific transactions,Failing to report transactions,$800
2009,"Cabrera, Fernando",12/13/2012,Failing to accurately report receipts and disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009,"Cabrera, Fernando",12/13/2012,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$250
2009,"Cabrera, Fernando",12/13/2012,Making improper post-election expenditures,Making impermissible post-election expenditures,$345
2009,"Cabrera, Fernando",12/13/2012,Responding late to the draft audit report,"Failing to respond/late response to IDR, DAR, etc.",$50
2009,"Cabrera, Fernando",12/13/2012,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$250
2009,"Cabrera, Fernando",12/13/2012,Repayment: FBB,Repayment: Final Bank Balance,"$5,991"
2009,"Cooke, Thomas",12/13/2012,Filing disclosure statements late,Failing to file/filing late disclosure statements,$750
2009,"Cooke, Thomas",12/13/2012,"Failing to accurately report cash receipts, resulting in a 17.57% variance",Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$500
2009,"Cooke, Thomas",12/13/2012,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$25
2009,"Cooke, Thomas",12/13/2012,Failing to provide family member form,"Failing to respond/late response to IDR, DAR, etc.",$50
2009,"Cooke, Thomas",12/13/2012,Failing to document three transactions,Failing to document transactions,$150
2009,"Cooke, Thomas",12/13/2012,Failing to respond to post-election request for audit documentation,"Failing to respond/late response to IDR, DAR, etc.",VNP
2009,"Cooke, Thomas",12/13/2012,Repayment: FBB,Repayment: Final Bank Balance,"$2,028.21"
2009,"Hornak, Robert",12/13/2012,Failing to file two disclosure statements and filing two late disclosure statements,Failing to file/filing late disclosure statements,"$1,700"
2009,"Hornak, Robert",12/13/2012,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",VNP
2009,"Hornak, Robert",12/13/2012,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$500
2009,"Hornak, Robert",12/13/2012,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$750
